security;time;close;volume;open;high;low
AAPL;20210507T00:00:00;130.21;78973270;130.85;1.312.582;129.475
AAPL;20210506T00:00:00;129.74;78128330;127.89;129.75;127.13
AAPL;20210505T00:00:00;128.1;84000900;129.2;130.45;127.97
AAPL;20210504T00:00:00;127.85;137564700;131.19;1.314.899;126.7
AAPL;20210503T00:00:00;132.54;75135100;132.04;134.07;131.83
AAPL;20210430T00:00:00;131.46;109839500;131.78;133.56;131.065
AAPL;20210429T00:00:00;133.48;151101000;136.47;137.07;132.45
AAPL;20210428T00:00:00;133.58;107760100;134.31;135.02;133.08
AAPL;20210427T00:00:00;134.39;66015800;135.01;135.41;134.11
AAPL;20210426T00:00:00;134.72;66905070;134.83;135.06;133.56
AAPL;20210423T00:00:00;134.32;78756780;132.16;135.12;132.16
AAPL;20210422T00:00:00;131.94;84566460;133.04;134.15;131.41
AAPL;20210421T00:00:00;133.5;68847140;132.36;133.75;1.313.001
AAPL;20210420T00:00:00;133.11;94812350;135.02;135.53;131.81
AAPL;20210419T00:00:00;134.84;94264220;133.51;135.47;133.34
AAPL;20210416T00:00:00;134.16;84922390;134.3;134.67;133.28
AAPL;20210415T00:00:00;134.5;89347100;133.82;135;133.64
AAPL;20210414T00:00:00;132.03;87222780;134.94;135;131.655
AAPL;20210413T00:00:00;134.43;91266550;132.44;134.66;131.93
AAPL;20210412T00:00:00;131.24;91419980;132.52;132.85;130.63
AAPL;20210409T00:00:00;132.995;106686700;129.8;133.04;129.47
AAPL;20210408T00:00:00;130.36;88844590;128.95;130.39;128.52
AMZN;20210507T00:00:00;3291.61;4710276;3319.09;3330.89;32.890.704
AMZN;20210506T00:00:00;3306.37;4447696;3270;3314.4;3247.2
AMZN;20210505T00:00:00;3270.54;3711308;3.338.855;3.354.695;3264.36
AMZN;20210504T00:00:00;3311.87;5439449;3356.19;3.367.975;3272.13
AMZN;20210503T00:00:00;3386.49;5875530;3484.73;3.486.645;33.727.012
AMZN;20210430T00:00:00;3467.42;7009346;3525.12;3554;3462.5
AMZN;20210429T00:00:00;3471.31;7682381;3.505.098;3.514.445;3435
AMZN;20210428T00:00:00;3458.5;4631884;3434.8;3489.88;3425
AMZN;20210427T00:00:00;3417.43;3827140;3443.47;3460;3398.01
AMZN;20210426T00:00:00;3409;4880708;3348;3428.45;3330.94
AMZN;20210423T00:00:00;3340.88;3196652;3319.1;3375;3308.5
AMZN;20210422T00:00:00;3309.04;2580590;3371.68;3372.87;3301.45
AMZN;20210421T00:00:00;3362.02;2211166;3316;3362.86;33.038.061
AMZN;20210420T00:00:00;3334.69;2623032;3373.6;3382.99;3316
AMZN;20210419T00:00:00;3372.01;2725405;3390.33;34.359.333;3360.16
AMZN;20210416T00:00:00;3399.44;3186049;3380;3406.8;3355.59
AMZN;20210415T00:00:00;3379.09;3233580;3371;33.969.999;3352
AMZN;20210414T00:00:00;3333;3145204;3404.04;3404.13;3326
AMZN;20210413T00:00:00;3400;3315837;3.400.845;3432;3395.63
AMZN;20210412T00:00:00;3379.39;3281798;3355.21;3395.04;3351.15
AMZN;20210409T00:00:00;3372.2;4341473;3304.7;3372.2;3288.9
AMZN;20210408T00:00:00;3299.3;2812090;3310.9;3324.5;3292
AMZN;20210407T00:00:00;3279.39;3346227;3233.8;33.036.125;3223.65
AMZN;20210406T00:00:00;3223.82;2537809;3223.75;3247.31;3217.04
AMZN;20210405T00:00:00;3226.73;3334882;3173;3.235.955;3161.24
AMZN;20210401T00:00:00;3161;2940318;3117.94;3162.44;3115.55
AMZN;20210331T00:00:00;3094.08;3093896;3064.06;3119.33;3062.5
AMZN;20210330T00:00:00;3055.29;2337603;3070.01;3073;3034
AMZN;20210329T00:00:00;3075.73;2745968;3.055.439;3091.25;3.028.445
AMZN;20210326T00:00:00;3052.03;3312924;3044.06;3056.66;2996
AMZN;20210325T00:00:00;3046.26;3563469;3072.99;3109.78;3037.14
AMZN;20210324T00:00:00;3087.07;2958981;3151.04;3160.31;3085.15
AMZN;20210323T00:00:00;3137.5;3817263;3127;3182;31.208.501
AMZN;20210322T00:00:00;3110.87;2902179;3067.85;3126.58;3060.05
AMZN;20210319T00:00:00;3074.96;4625354;3029.23;3.077.285;3016.63
AMZN;20210318T00:00:00;3027.99;3657027;3101;3116.63;3025
AMZN;20210317T00:00:00;3135.73;3118584;3073.22;3173.05;3070.22
AMZN;20210316T00:00:00;3091.86;2538764;3104.97;3128.91;30.758.601
AMZN;20210315T00:00:00;3081.68;2918592;3074.57;3082.24;3032.09
AMZN;20210312T00:00:00;3089.49;2421888;3075;3098.98;3045.5
AMZN;20210311T00:00:00;3113.59;2776391;3104.01;31.317.843;3082.93
AMZN;20210310T00:00:00;3057.64;3012489;3098.45;3116.46;3030.05
AMZN;20210309T00:00:00;3062.85;4030032;3017.99;3090.96;30.051.474
AMZN;20210308T00:00:00;2951.95;4185008;3015;3064.59;2951.31
AMZN;20210305T00:00:00;3000.46;5388551;3005;3009;28.810.001
AMZN;20210304T00:00:00;2977.57;5481578;3012;3058.13;2945.43
AMZN;20210303T00:00:00;3005;3988725;3081.18;3.107.775;2995
AMZN;20210302T00:00:00;3094.53;2595762;3143.47;3163.52;30.871.201
AMZN;20210301T00:00:00;3146.14;2733963;3127.89;3149.56;3097.99
AMZN;20210226T00:00:00;3092.93;4275930;3095.2;3122.44;3036.7
AMZN;20210225T00:00:00;3057.16;4533801;3136.74;3178.26;3047.76
